ter_type,min_salary,max_salary,ter_percentage
TER_A,0,5400000,0
TER_A,5400000,5650000,0.0025
TER_A,5650000,5950000,0.005
TER_A,5950000,6300000,0.0075
TER_A,6300000,6750000,0.01
TER_A,6750000,7500000,0.0125
TER_A,7500000,8550000,0.015
TER_A,8550000,9650000,0.0175
TER_A,9650000,10050000,0.02
TER_A,10050000,10350000,0.0225
TER_A,10350000,10700000,0.025
TER_A,10700000,11050000,0.03
TER_A,11050000,11600000,0.035
TER_A,11600000,12500000,0.04
TER_A,12500000,13750000,0.05
TER_A,13750000,15100000,0.06
TER_A,15100000,16950000,0.07
TER_A,16950000,19750000,0.08
TER_A,19750000,24150000,0.09
TER_A,24150000,26450000,0.1
TER_A,26450000,28000000,0.11
TER_A,28000000,30050000,0.12
TER_A,30050000,32400000,0.13
TER_A,32400000,35400000,0.14
TER_A,35400000,39100000,0.15
TER_A,39100000,43850000,0.16
TER_A,43850000,47800000,0.17
TER_A,47800000,51400000,0.18
TER_A,51400000,56300000,0.19
TER_A,56300000,62200000,0.2
TER_A,62200000,68600000,0.21
TER_A,68600000,77500000,0.22
TER_A,77500000,89000000,0.23
TER_A,89000000,103000000,0.24
TER_A,103000000,125000000,0.25
TER_A,125000000,157000000,0.26
TER_A,157000000,206000000,0.27
TER_A,206000000,337000000,0.28
TER_A,337000000,454000000,0.29
TER_A,454000000,550000000,0.3
TER_A,550000000,695000000,0.31
TER_A,695000000,910000000,0.32
TER_A,910000000,1400000000,0.33
TER_A,1400000000,999999999999,0.34
TER_B,0,6200000,0
TER_B,6200000,6500000,0.0025
TER_B,6500000,6850000,0.005
TER_B,6850000,7300000,0.0075
TER_B,7300000,9200000,0.01
TER_B,9200000,10750000,0.015
TER_B,10750000,11250000,0.02
TER_B,11250000,11600000,0.025
TER_B,11600000,12600000,0.03
TER_B,12600000,13600000,0.04
TER_B,13600000,14950000,0.05
TER_B,14950000,16400000,0.06
TER_B,16400000,18450000,0.07
TER_B,18450000,21850000,0.08
TER_B,21850000,26000000,0.09
TER_B,26000000,27700000,0.1
TER_B,27700000,29350000,0.11
TER_B,29350000,31450000,0.12
TER_B,31450000,33950000,0.13
TER_B,33950000,37100000,0.14
TER_B,37100000,41100000,0.15
TER_B,41100000,45800000,0.16
TER_B,45800000,49500000,0.17
TER_B,49500000,53800000,0.18
TER_B,53800000,58500000,0.19
TER_B,58500000,64000000,0.2
TER_B,64000000,71000000,0.21
TER_B,71000000,80000000,0.22
TER_B,80000000,93000000,0.23
TER_B,93000000,109000000,0.24
TER_B,109000000,129000000,0.25
TER_B,129000000,163000000,0.26
TER_B,163000000,211000000,0.27
TER_B,211000000,374000000,0.28
TER_B,374000000,459000000,0.29
TER_B,459000000,555000000,0.3
TER_B,555000000,704000000,0.31
TER_B,704000000,957000000,0.32
TER_B,957000000,1405000000,0.33
TER_B,1405000000,999999999999,0.34
TER_C,0,6600000,0
TER_C,6600000,6950000,0.0025
TER_C,6950000,7350000,0.005
TER_C,7350000,7800000,0.0075
TER_C,7800000,8850000,0.01
TER_C,8850000,9800000,0.0125
TER_C,9800000,10950000,0.015
TER_C,10950000,11200000,0.0175
TER_C,11200000,12050000,0.02
TER_C,12050000,12950000,0.03
TER_C,12950000,14150000,0.04
TER_C,14150000,15550000,0.05
TER_C,15550000,17050000,0.06
TER_C,17050000,19500000,0.07
TER_C,19500000,22700000,0.08
TER_C,22700000,26600000,0.09
TER_C,26600000,28100000,0.1
TER_C,28100000,30100000,0.11
TER_C,30100000,32600000,0.12
TER_C,32600000,35400000,0.13
TER_C,35400000,38900000,0.14
TER_C,38900000,43000000,0.15
TER_C,43000000,47400000,0.16
TER_C,47400000,51200000,0.17
TER_C,51200000,55800000,0.18
TER_C,55800000,60400000,0.19
TER_C,60400000,66700000,0.2
TER_C,66700000,74500000,0.21
TER_C,74500000,83200000,0.22
TER_C,83200000,95600000,0.23
TER_C,95600000,110000000,0.24
TER_C,110000000,134000000,0.25
TER_C,134000000,169000000,0.26
TER_C,169000000,221000000,0.27
TER_C,221000000,390000000,0.28
TER_C,390000000,463000000,0.29
TER_C,463000000,561000000,0.3
TER_C,561000000,709000000,0.31
TER_C,709000000,965000000,0.32
TER_C,965000000,1419000000,0.33
TER_C,1419000000,999999999999,0.34
